Accession	Female_Parent	Male_Parent	Cross_Type
IITA-TMS-IBA070481	IITA-TMS-IBA011371	IITA-TMS-IBA011335	biparental
IITA-TMS-IBA070498	IITA-TMS-IBA011413	IITA-TMS-IBA011335	biparental
IITA-TMS-IBA070520	IITA-TMS-IBA011442	IITA-TMS-IBA011412	biparental
IITA-TMS-IBA070525	IITA-TMS-IBA011610	IITA-TMS-IBA961089A	biparental
IITA-TMS-IBA070536	IITA-TMS-IBA011610	IITA-TMS-IBA011442	biparental
IITA-TMS-IBA070539	IITA-TMS-IBA011610	IITA-TMS-IBA011442	biparental
IITA-TMS-IBA070553	IITA-TMS-IBA011663	IITA-TMS-IBA011335	biparental
IITA-TMS-IBA070557	IITA-TMS-IBA011663	IITA-TMS-IBA940330	biparental
IITA-TMS-IBA070576	IITA-TMS-IBA011371	IITA-TMS-IBA990067	biparental
IITA-TMS-IBA070593	IITA-TMS-IBA011277	IITA-TMS-IBA990067	biparental
IITA-TMS-IBA070614	IITA-TMS-IBA011413	FBA-3	biparental
IITA-TMS-IBA070620	IITA-TMS-IBA011649	IITA-TMS-MM964019	biparental
IITA-TMS-IBA070649	IITA-TMS-IBA011368	IITA-TMS-MM964019	biparental
IITA-TMS-IBA070670	IITA-TMS-IBA011273	IITA-TMS-MM964019	biparental
IITA-TMS-IBA070675	IITA-TMS-IBA011371	IITA-TMS-MM964019	biparental
IITA-TMS-IBA070683	IITA-TMS-IBA011273	IITA-TMS-IBA051640	biparental
IITA-TMS-IBA070703	IITA-TMS-IBA011277	IITA-TMS-IBA051640	biparental
IITA-TMS-IBA070736	IITA-TMS-IBA011371	IITA-TMS-IBA051814	biparental
IITA-TMS-IBA070749	IITA-TMS-IBA011649	IITA-TMS-IBA050151	biparental
IITA-TMS-IBA070751	IITA-TMS-IBA011649	IITA-TMS-IBA051743	biparental
IITA-TMS-IBA070752	IITA-TMS-IBA011649	IITA-TMS-IBA051743	biparental
IITA-TMS-IBA070753	IITA-TMS-IBA011412	IITA-TMS-IBA051791	biparental
IITA-TMS-IBA070756	IITA-TMS-IBA950379	IITA-TMS-IBA051354	biparental
